Body Type,Sex,How Often Shower,Heating Energy Source,Social Activity,How Long TV PC Daily Hour,Energy efficiency,Transport,Vehicle Type,Vehicle Monthly Distance Km,Frequency of Traveling by Air,Industry_Sector,Diet,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,How Long Internet Daily Hour,Individual_Component,Transport_Component,Industry_Component,Scope3_Component,Unified_Target
overweight,female,daily,coal,often,7,No,public,none,210,frequently,Automotive Industry,pescatarian,large,4,26,1,184,0.0,64808.56370013151,261,65253.56370013151
obese,female,less frequently,natural gas,often,9,No,walk/bicycle,none,9,rarely,Logistics,vegetarian,extra large,3,38,5,148,0.0,64706.229153879875,290,65144.229153879875
overweight,male,more frequently,wood,never,14,Sometimes,private,petrol,2472,never,Steel Manufacturing,omnivore,small,1,47,6,188,581.2149815782237,64683.60898531668,356,65808.82396689491
overweight,male,twice a day,wood,sometimes,20,Sometimes,walk/bicycle,none,74,rarely,Automotive Industry,omnivore,medium,3,5,7,210,0.0,64808.56370013151,177,65195.56370013151
obese,female,daily,coal,often,3,Yes,private,diesel,8457,very frequently,Automotive Industry,vegetarian,large,1,5,6,196,2008.9482685714286,64808.56370013151,96,67109.51196870294
overweight,male,less frequently,wood,sometimes,22,Sometimes,public,none,658,frequently,Logistics,vegetarian,large,1,18,9,184,0.0,64706.229153879875,164,65054.229153879875
underweight,female,less frequently,wood,never,9,Sometimes,private,hybrid,5363,rarely,Steel Manufacturing,vegan,medium,4,11,19,138,804.45,64683.60898531668,154,65780.05898531667
underweight,female,more frequently,coal,sometimes,5,No,walk/bicycle,none,54,very frequently,Steel Manufacturing,vegan,extra large,3,39,15,170,0.0,64683.60898531668,275,65128.60898531668
overweight,male,daily,wood,never,3,Yes,public,none,1376,frequently,Automotive Industry,omnivore,medium,3,31,15,156,0.0,64808.56370013151,315,65279.56370013151
underweight,female,daily,wood,often,8,Sometimes,public,none,440,rarely,Cement Production,pescatarian,extra large,1,23,18,146,0.0,64722.400701292994,218,65086.400701292994
normal,female,more frequently,wood,never,12,No,public,none,1561,never,Automotive Industry,vegetarian,extra large,4,27,21,174,0.0,64808.56370013151,266,65248.56370013151
obese,male,more frequently,coal,never,9,Sometimes,walk/bicycle,none,69,very frequently,Automotive Industry,vegetarian,medium,5,4,4,218,0.0,64808.56370013151,149,65175.56370013151
